Order,Name,CarId,BatteryCapacity,TotalEnergy,WeightLoad,TimeStart,TimeEnd,Inbound,Outbound,TotalDistance
0,Steel,0,99.96,193.496,20.0,16:30:00,16:31:01,0,15,6.3,100(0.35 m)(0.2 m/s),02(0.4 m)(0.2 m/s),23(1.6 m)(0.2 m/s),34(0.9 m)(0.2 m/s),45(0.9 m)(0.2 m/s),56(0.35 m)(0.2 m/s),68(1.05 m)(0.2 m/s),815(0.75 m)(0.2 m/s),
1,Steel,1,99.96,160.611,20.0,16:30:05,16:31:12,3,14,6.1,90(0.35 m)(0.2 m/s),02(0.4 m)(0.1 m/s),23(1.6 m)(0.2 m/s),34(0.9 m)(0.2 m/s),45(0.9 m)(0.2 m/s),56(0.35 m)(0.2 m/s),68(1.05 m)(0.1 m/s),814(0.55 m)(0.2 m/s),
